"item","identifier","value","test_taker"
"Example_0_Introduction","numAttempts","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:4:\"MQ==\";s:10:\"identifier\";s:11:\"numAttempts\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:7:\"integer\";s:5:\"epoch\";s:21:\"0.74728000 1459336098\";}","test"
"Example_0_Introduction","duration","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:16:\"UFQ4LjcwMzA1N1M=\";s:10:\"identifier\";s:8:\"duration\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:8:\"duration\";s:5:\"epoch\";s:21:\"0.76820500 1459336098\";}","test"
"Example_0_Introduction","completionStatus","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:12:\"Y29tcGxldGVk\";s:10:\"identifier\";s:16:\"completionStatus\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:10:\"identifier\";s:5:\"epoch\";s:21:\"0.76850500 1459336098\";}","test"
"Example_0_Introduction","SCORE","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:4:\"MA==\";s:10:\"identifier\";s:5:\"SCORE\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:5:\"float\";s:5:\"epoch\";s:21:\"0.76872100 1459336098\";}","test"
"example_1_TAO","numAttempts","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:4:\"MQ==\";s:10:\"identifier\";s:11:\"numAttempts\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:7:\"integer\";s:5:\"epoch\";s:21:\"0.27473800 1459336118\";}","test"
"example_1_TAO","duration","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";N;s:17:\"candidateResponse\";s:16:\"UFQxNi4xMjU1NzZT\";s:10:\"identifier\";s:8:\"duration\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:8:\"duration\";s:5:\"epoch\";s:21:\"0.33999300 1459336118\";}","test"
"example_1_TAO","completionStatus","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:12:\"Y29tcGxldGVk\";s:10:\"identifier\";s:16:\"completionStatus\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:10:\"identifier\";s:5:\"epoch\";s:21:\"0.35533200 1459336118\";}","test"
"example_1_TAO","SCORE","O:46:\"taoResultServer_models_classes_OutcomeVariable\":7:{s:13:\"normalMaximum\";N;s:13:\"normalMinimum\";N;s:5:\"value\";s:4:\"MA==\";s:10:\"identifier\";s:5:\"SCORE\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:5:\"float\";s:5:\"epoch\";s:21:\"0.36620800 1459336118\";}","test"
"example_1_TAO","RESPONSE","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";b:0;s:17:\"candidateResponse\";s:4:\"MA==\";s:10:\"identifier\";s:8:\"RESPONSE\";s:11:\"cardinality\";s:6:\"single\";s:8:\"baseType\";s:7:\"integer\";s:5:\"epoch\";s:21:\"0.36770800 1459336118\";}","test"
"example_1_TAO","RESPONSE_1","O:47:\"taoResultServer_models_classes_ResponseVariable\":6:{s:15:\"correctResponse\";b:0;s:17:\"candidateResponse\";s:4:\"PD4=\";s:10:\"identifier\";s:10:\"RESPONSE_1\";s:11:\"cardinality\";s:7:\"ordered\";s:8:\"baseType\";s:10:\"identifier\";s:5:\"epoch\";s:21:\"0.36817100 1459336118\";}","test"
